Month (abbr),Year,Country/Area,집계(Growth Rate(%)),합계(Visitor Arrivals)
May,2000,Philippines,4076.8000000000002,10442
Apr.,2000,Philippines,3620.4460966542756,10008
Mar.,2000,Philippines,3378.4232365145231,8383
Feb.,2000,Philippines,2629.4117647058824,6496
Jan.,2000,Philippines,2697.7272727272725,7386
Dec.,2000,Peru,3.4031413612565445,395
Nov.,2000,Peru,-42.518248175182485,315
Oct.,2000,Peru,-43.159379407616363,403
Sep.,2000,Peru,-49.312714776632305,295
Aug.,2000,Peru,-50.417362270450752,297
Jul.,2000,Peru,-42.307692307692307,315
Jun.,2000,Peru,-52.593917710196777,265
May,2000,Peru,-56.521739130434781,250
Apr.,2000,Peru,-51.090909090909086,269
Mar.,2000,Peru,-50.206611570247937,241
Feb.,2000,Peru,-45.909090909090914,238
Jan.,2000,Peru,-44.654088050314464,264
Dec.,2000,Pakistan,-27.238095238095241,382
Nov.,2000,Pakistan,-14.774494556765164,548
Oct.,2000,Pakistan,-4.959785522788204,709
Sep.,2000,Pakistan,-6.129032258064516,582
Aug.,2000,Pakistan,26.906779661016948,599
Jul.,2000,Pakistan,14.225941422594143,546
Jun.,2000,Pakistan,18.683651804670912,559
May,2000,Pakistan,-4.485049833887043,575
Apr.,2000,Pakistan,-25.775978407557354,550
Mar.,2000,Pakistan,-39.119496855345915,484
Feb.,2000,Pakistan,-21.847246891651864,440
Jan.,2000,Pakistan,-6.1023622047244093,477
Dec.,2000,Norway,2988.2352941176473,525
Nov.,2000,Norway,1848.4848484848485,643
Oct.,2000,Norway,1281.4814814814815,746
Sep.,2000,Norway,1671.4285714285716,620
Aug.,2000,Norway,790.56603773584902,472
Jul.,2000,Norway,11850,478
Jun.,2000,Norway,2040.909090909091,471
May,2000,Norway,1781.25,602
Apr.,2000,Norway,4840,741
Mar.,2000,Norway,2464.516129032258,795
Feb.,2000,Norway,2065.3846153846152,563
Jan.,2000,Norway,1781.4814814814813,508
Dec.,2000,North Korea,-99.332285938727409,17
Nov.,2000,North Korea,-98.560837331007406,33
Oct.,2000,North Korea,-97.872340425531917,54
Sep.,2000,North Korea,-98.815566835871408,35
Aug.,2000,North Korea,-97.831423895253678,53
Jul.,2000,North Korea,-99.88616960728514,4
Jun.,2000,North Korea,-99.174484052532833,22
May,2000,North Korea,-98.754379135850527,32
Apr.,2000,North Korea,-99.529485570890842,15
Mar.,2000,North Korea,-98.674647285164596,31
Feb.,2000,North Korea,-98.471487360376258,26
Jan.,2000,North Korea,-98.920000000000002,27
Dec.,2000,New Zealand,67.720685111989468,2546
Nov.,2000,New Zealand,-15.543278084714549,2293
Oct.,2000,New Zealand,-30.427631578947366,2538
Sep.,2000,New Zealand,45.208845208845212,2955
Aug.,2000,New Zealand,37.149270482603811,2444
Jul.,2000,New Zealand,46.112266112266113,3514
Jun.,2000,New Zealand,41.454352441613587,2665
May,2000,New Zealand,14.892665474060824,2569
Apr.,2000,New Zealand,-0.53042121684867392,3188
Mar.,2000,New Zealand,5.8850158442734264,2339
Feb.,2000,New Zealand,-22.927050294517446,1701
Jan.,2000,New Zealand,50.421179302045729,2500
Dec.,2000,Netherlands,527.27272727272725,1518
Nov.,2000,Netherlands,703.25443786982248,2715
Oct.,2000,Netherlands,802.97029702970292,3648
Sep.,2000,Netherlands,471.62921348314609,2035
Aug.,2000,Netherlands,639.41908713692953,1782
Jul.,2000,Netherlands,571.78770949720672,2405
Jun.,2000,Netherlands,592.64705882352939,1884
May,2000,Netherlands,794.39999999999998,2236
Apr.,2000,Netherlands,917.46031746031736,3205
Mar.,2000,Netherlands,801.63265306122446,2209
Feb.,2000,Netherlands,1205.9171597633137,2207
Jan.,2000,Netherlands,628.9473684210526,1662
Dec.,2000,Nepal,-0.81967213114754096,242
Nov.,2000,Nepal,46.956521739130437,338
Oct.,2000,Nepal,-6.0465116279069768,404
Sep.,2000,Nepal,13.738019169329075,356
Aug.,2000,Nepal,-4.7430830039525684,241
Jul.,2000,Nepal,25.614035087719302,358
Jun.,2000,Nepal,8.799999999999999,272
May,2000,Nepal,-2.34375,250
Apr.,2000,Nepal,4.3046357615894042,315
Mar.,2000,Nepal,-24.846625766871167,245
Feb.,2000,Nepal,11.184210526315789,169
Jan.,2000,Nepal,-10.9375,228
Dec.,2000,Myanmar,-71.158392434988187,244
Nov.,2000,Myanmar,-79.35368043087972,230
Oct.,2000,Myanmar,-68.053491827637444,430
Sep.,2000,Myanmar,-74.428104575163403,313
Aug.,2000,Myanmar,-75.950570342205324,253
Jul.,2000,Myanmar,-83.284457478005862,285
Jun.,2000,Myanmar,-73.089343379978473,250
May,2000,Myanmar,-71.332586786114234,256
Apr.,2000,Myanmar,-73.297966401414683,302
Mar.,2000,Myanmar,-66.42636457260555,326
Feb.,2000,Myanmar,-73.286467486818978,152
Jan.,2000,Myanmar,-60.79632465543645,256
Dec.,2000,Mexico,-85.401207937877473,846
Nov.,2000,Mexico,-82.22151292690711,1114
Oct.,2000,Mexico,-78.346203346203353,1346
Sep.,2000,Mexico,-75.237709892777659,1224
Aug.,2000,Mexico,-72.858617131062957,1052
Jul.,2000,Mexico,-58.925560105998557,1705
Jun.,2000,Mexico,-79.193729003359465,929
May,2000,Mexico,-85.531432274789381,893
Apr.,2000,Mexico,-82.782767544527332,1131
Mar.,2000,Mexico,-81.185816702189499,971
Feb.,2000,Mexico,-88.385384772402531,569
Jan.,2000,Mexico,-82.109589041095887,653
Dec.,2000,Malaysia,5936.4583333333339,5795
Nov.,2000,Malaysia,9114.7058823529405,6266
Oct.,2000,Malaysia,7972.727272727273,6216
Sep.,2000,Malaysia,3918.6991869918702,4943
Aug.,2000,Malaysia,985.71428571428578,3876
Jul.,2000,Malaysia,2446.6257668711655,4151
Jun.,2000,Malaysia,2542.0118343195268,4465
May,2000,Malaysia,15725.641025641025,6172
Apr.,2000,Malaysia,12294.33962264151,6569
Mar.,2000,Malaysia,18332.142857142859,5161
Feb.,2000,Malaysia,22168.18181818182,4899
Jan.,2000,Malaysia,27976.923076923078,3650
Dec.,2000,Macau,317.39130434782606,96
Nov.,2000,Macau,74.358974358974365,68
Oct.,2000,Macau,48.07692307692308,77
Sep.,2000,Macau,101.63934426229508,123
Aug.,2000,Macau,1015.625,357
Jul.,2000,Macau,191.07142857142858,163
Jun.,2000,Macau,482.75862068965517,169
May,2000,Macau,-13.333333333333334,39
Apr.,2000,Macau,26.190476190476193,53
Mar.,2000,Macau,-30,28
Feb.,2000,Macau,-12,22
Jan.,2000,Macau,-53.571428571428569,13
Dec.,2000,Lebanon,-98.790746582544685,23
Nov.,2000,Lebanon,-98.828477020126158,39
Oct.,2000,Lebanon,-98.717632552404439,52
Sep.,2000,Lebanon,-97.97879390324718,61
Aug.,2000,Lebanon,-98.723573992820107,32
Jul.,2000,Lebanon,-98.194130925507906,56
Jun.,2000,Lebanon,-98.787118360518605,29
May,2000,Lebanon,-98.381877022653725,45
Apr.,2000,Lebanon,-98.800685322672749,42
Mar.,2000,Lebanon,-98.45380749903363,40
Feb.,2000,Lebanon,-98.739283913262739,25
Jan.,2000,Lebanon,-98.808510638297875,28
Dec.,2000,Italy,139.24528301886792,1902
Nov.,2000,Italy,260.28138528138527,3329
Oct.,2000,Italy,47.293861242281146,4055
Sep.,2000,Italy,271.21771217712177,3018
Aug.,2000,Italy,222.65122265122264,2507
Jul.,2000,Italy,201.65369649805447,3101
Jun.,2000,Italy,210.51948051948051,2391
May,2000,Italy,230.28503562945369,2781
Apr.,2000,Italy,293.0415263748597,3502
Mar.,2000,Italy,236.41092327698311,2587
Feb.,2000,Italy,178.90295358649789,1983
Jan.,2000,Italy,300.34071550255533,2350
Dec.,2000,Israel,18.656716417910449,795
Nov.,2000,Israel,-6.5722952477249744,924
Oct.,2000,Israel,158.74060150375939,2753
Sep.,2000,Israel,2.6515151515151514,813
Aug.,2000,Israel,-0.12853470437017994,777
Jul.,2000,Israel,4.3654822335025383,1028
Jun.,2000,Israel,-7.004830917874397,770
May,2000,Israel,-4.1002277904328022,842
Apr.,2000,Israel,-5.4140127388535033,891
Mar.,2000,Israel,-9.9531615925058538,769
Feb.,2000,Israel,-1.1126564673157162,711
Jan.,2000,Israel,-47.960992907801419,587
Dec.,2000,Ireland,131.83391003460207,670
Nov.,2000,Ireland,230.76923076923075,989
Oct.,2000,Ireland,128.81720430107526,1064
Sep.,2000,Ireland,106.78851174934725,792
Aug.,2000,Ireland,108.02139037433156,778
Jul.,2000,Ireland,127.48267898383372,985
Jun.,2000,Ireland,164.53674121405751,828
May,2000,Ireland,176.10062893081761,878
Apr.,2000,Ireland,237.63440860215056,942
Mar.,2000,Ireland,245.748987854251,854
Feb.,2000,Ireland,187.59999999999999,719
Jan.,2000,Ireland,276,1128
Dec.,2000,Iran,-94.718567251461991,289
Nov.,2000,Iran,-91.890425820450233,299
Oct.,2000,Iran,-90.451745379876797,465
Sep.,2000,Iran,-90.969111058712571,383
Aug.,2000,Iran,-89.872732196046584,374
Jul.,2000,Iran,-91.997782295324342,433
Jun.,2000,Iran,-93.964519861164675,313
May,2000,Iran,-92.469808193227564,318
Apr.,2000,Iran,-93.752798925212716,279
Mar.,2000,Iran,-92.74596182085169,247
Feb.,2000,Iran,-91.930277598450616,250
Jan.,2000,Iran,-95.070653959907986,300
Dec.,2000,Indonesia,89.408099688473513,5472
Nov.,2000,Indonesia,7.0246734397677795,3687
Oct.,2000,Indonesia,27.620545073375265,4870
Sep.,2000,Indonesia,33.364779874213838,4241
Aug.,2000,Indonesia,13.805855161787365,3693
Jul.,2000,Indonesia,47.881934954905717,5411
Jun.,2000,Indonesia,61.105933519726619,5186
May,2000,Indonesia,10.665618448637316,4223
Apr.,2000,Indonesia,39.5625,4466
Mar.,2000,Indonesia,21.5203426124197,3405
Feb.,2000,Indonesia,29.460927705808608,3098
Jan.,2000,Indonesia,96.132774734128262,6086
Dec.,2000,India,892.78350515463922,2889
Nov.,2000,India,718.28978622327793,3445
Oct.,2000,India,507.64331210191085,3816
Sep.,2000,India,919.23076923076917,3180
Aug.,2000,India,801.38888888888891,3245
Jul.,2000,India,888.91891891891885,3659
Jun.,2000,India,1133.3333333333335,3219
May,2000,India,896.34464751958217,3816
Apr.,2000,India,591.14470842332616,3200
Mar.,2000,India,926.37362637362651,2802
Feb.,2000,India,1152.8795811518326,2393
Jan.,2000,India,734.13978494623655,3103
Dec.,2000,Hungary,-98.687593018536063,291
Nov.,2000,Hungary,-97.40363860622881,421
Oct.,2000,Hungary,-96.409582070779251,628
Sep.,2000,Hungary,-98.237288135593218,312
Aug.,2000,Hungary,-98.395078239935813,360
Jul.,2000,Hungary,-98.736683966129462,370
Jun.,2000,Hungary,-98.823211145678343,261
May,2000,Hungary,-97.361168526939508,383
Apr.,2000,Hungary,-98.125961304946159,463
Mar.,2000,Hungary,-98.458323921391468,273
Feb.,2000,Hungary,-99.287393202253483,191
Jan.,2000,Hungary,-96.884683024872288,372
Dec.,2000,Hong Kong,11885.405405405407,22173
Nov.,2000,Hong Kong,7304.1095890410961,16215
Oct.,2000,Hong Kong,3786.8888888888891,17491
Sep.,2000,Hong Kong,5800,17700
Aug.,2000,Hong Kong,9055.5102040816328,22431
Jul.,2000,Hong Kong,10589.05109489051,29288
Jun.,2000,Hong Kong,10562.98076923077,22179
May,2000,Hong Kong,6350.666666666667,14514
Apr.,2000,Hong Kong,8723.5714285714275,24706
Mar.,2000,Hong Kong,7403.3898305084749,17708
Feb.,2000,Hong Kong,16243.292682926829,26803
Jan.,2000,Hong Kong,6646.3276836158184,11941
Dec.,2000,Greece,-96.607372088758481,185
Nov.,2000,Greece,-97.42564946514635,219
Oct.,2000,Greece,-95.986443096682123,450
Sep.,2000,Greece,-95.827538247566068,300
Aug.,2000,Greece,-95.939002154815185,245
Jul.,2000,Greece,-96.576283893539923,274
Jun.,2000,Greece,-96.422428620571026,208
May,2000,Greece,-97.058439011635514,225
Apr.,2000,Greece,-96.866606982990149,280
Mar.,2000,Greece,-96.898002103049421,236
Feb.,2000,Greece,-97.268032650341496,164
Jan.,2000,Greece,-97.000508388408747,177
Dec.,2000,Germany,-15.404902264970524,5453
Nov.,2000,Germany,13.79079721776351,8507
Oct.,2000,Germany,36.282970706211252,11212
Sep.,2000,Germany,11.75007771215418,7190
Aug.,2000,Germany,7.1961620469083147,6033
Jul.,2000,Germany,14.051588998147357,8003
Jun.,2000,Germany,-13.994082840236684,5814
May,2000,Germany,18.515649209792375,7649
Apr.,2000,Germany,20.577519902847119,8936
Mar.,2000,Germany,19.528672427337,7608
Feb.,2000,Germany,12.26856181036095,6003
Jan.,2000,Germany,7.0184983677910777,5901
Dec.,2000,France,686.09756097560978,6446
Nov.,2000,France,537.3401534526854,7476
Oct.,2000,France,541.73166926677072,8227
Sep.,2000,France,672.38895558223294,6434
Aug.,2000,France,701.70940170940173,5628
Jul.,2000,France,930.39647577092501,7017
Jun.,2000,France,777.92207792207796,6760
May,2000,France,605.35519125683061,6454
Apr.,2000,France,525.92905405405406,7411
Mar.,2000,France,555.50978372811539,6365
Feb.,2000,France,513.8920780711826,5347
Jan.,2000,France,509.28176795580112,5514
Dec.,2000,Finland,6733.333333333333,820
Nov.,2000,Finland,4244.4444444444443,1173
Oct.,2000,Finland,4173.333333333333,1282
Sep.,2000,Finland,2424.242424242424,833
Aug.,2000,Finland,2164.516129032258,702
Jul.,2000,Finland,2170,681
Jun.,2000,Finland,3566.6666666666665,770
May,2000,Finland,3878.260869565217,915
Apr.,2000,Finland,3100,1184
Mar.,2000,Finland,2455.2631578947371,971
Feb.,2000,Finland,5343.75,871
Jan.,2000,Finland,3520.0000000000005,905
Dec.,2000,El Salvador,-86.36363636363636,12
Nov.,2000,El Salvador,-88.60759493670885,27
Oct.,2000,El Salvador,-91.017964071856284,30
Sep.,2000,El Salvador,-86.075949367088612,33
Aug.,2000,El Salvador,-86.974789915966383,31
Jul.,2000,El Salvador,-89.761092150170654,30
Jun.,2000,El Salvador,-91.796875,21
May,2000,El Salvador,-88.834951456310691,23
Apr.,2000,El Salvador,-84.710743801652882,37
Mar.,2000,El Salvador,-81.730769230769226,38
Feb.,2000,El Salvador,-87.878787878787875,16
Jan.,2000,El Salvador,-88.151658767772517,25
Dec.,2000,Egypt,-86.185243328100469,88
Nov.,2000,Egypt,-75.642343268242556,237
Oct.,2000,Egypt,-72.350993377483448,334
Sep.,2000,Egypt,-74.070021881838073,237
Aug.,2000,Egypt,-67.036011080332415,238
Jul.,2000,Egypt,-65.325443786982248,293
Jun.,2000,Egypt,-67.635903919089756,256
May,2000,Egypt,-71.934604904632153,206
Apr.,2000,Egypt,-77.467411545623833,242
Mar.,2000,Egypt,-75.500588928150762,208
Feb.,2000,Egypt,-81.893004115226347,132
Jan.,2000,Egypt,-68.174962292609351,211
Dec.,2000,Denmark,148.828125,637
Nov.,2000,Denmark,118.65168539325843,973
Oct.,2000,Denmark,186.25592417061611,1208
Sep.,2000,Denmark,117.61904761904762,914
Aug.,2000,Denmark,252.19512195121951,722
Jul.,2000,Denmark,100.23696682464455,845
Jun.,2000,Denmark,216.40000000000001,791
May,2000,Denmark,156.64335664335664,734
Apr.,2000,Denmark,306.81818181818181,1074
Mar.,2000,Denmark,333.16326530612247,849
Feb.,2000,Denmark,395.91836734693879,729
Jan.,2000,Denmark,231.5,663
Dec.,2000,Czech Republic,23.076923076923077,256
Nov.,2000,Czech Republic,74.509803921568633,445
Oct.,2000,Czech Republic,40.199335548172762,422
Sep.,2000,Czech Republic,62.162162162162161,420
Aug.,2000,Czech Republic,0.49019607843137256,205
Jul.,2000,Czech Republic,54.578754578754577,422
Jun.,2000,Czech Republic,2.880658436213992,250
